Agilent Technologies -[Data];;
CH1 500mV/div  50.00us/div  Size=4000 [Date:11.02.2016];;
NO.;Voltage(NL3);Time(NL3)
1;2.00E-02;-1.00E-03
2;0.00E+00;-9.99E-04
3;0.00E+00;-9.99E-04
4;-2.00E-02;-9.98E-04
5;0.00E+00;-9.98E-04
6;0.00E+00;-9.97E-04
7;0.00E+00;-9.97E-04
8;0.00E+00;-9.96E-04
9;0.00E+00;-9.96E-04
10;0.00E+00;-9.95E-04
11;0.00E+00;-9.95E-04
12;0.00E+00;-9.94E-04
13;0.00E+00;-9.94E-04
14;0.00E+00;-9.93E-04
15;0.00E+00;-9.93E-04
16;0.00E+00;-9.92E-04
17;0.00E+00;-9.92E-04
18;-2.00E-02;-9.91E-04
19;0.00E+00;-9.91E-04
20;0.00E+00;-9.90E-04
21;0.00E+00;-9.90E-04
22;0.00E+00;-9.89E-04
23;0.00E+00;-9.89E-04
24;-2.00E-02;-9.88E-04
25;0.00E+00;-9.88E-04
26;0.00E+00;-9.87E-04
27;0.00E+00;-9.87E-04
28;0.00E+00;-9.86E-04
29;0.00E+00;-9.86E-04
30;0.00E+00;-9.85E-04
31;0.00E+00;-9.85E-04
32;0.00E+00;-9.84E-04
33;0.00E+00;-9.84E-04
34;0.00E+00;-9.83E-04
35;0.00E+00;-9.83E-04
36;0.00E+00;-9.82E-04
37;0.00E+00;-9.82E-04
38;0.00E+00;-9.81E-04
39;0.00E+00;-9.81E-04
40;0.00E+00;-9.80E-04
41;0.00E+00;-9.80E-04
42;0.00E+00;-9.79E-04
43;0.00E+00;-9.79E-04
44;0.00E+00;-9.78E-04
45;0.00E+00;-9.78E-04
46;0.00E+00;-9.77E-04
47;0.00E+00;-9.77E-04
48;0.00E+00;-9.76E-04
49;0.00E+00;-9.76E-04
50;0.00E+00;-9.75E-04
51;0.00E+00;-9.75E-04
52;0.00E+00;-9.74E-04
53;0.00E+00;-9.74E-04
54;0.00E+00;-9.73E-04
55;0.00E+00;-9.73E-04
56;0.00E+00;-9.72E-04
57;0.00E+00;-9.72E-04
58;0.00E+00;-9.71E-04
59;0.00E+00;-9.71E-04
60;0.00E+00;-9.70E-04
61;0.00E+00;-9.70E-04
62;0.00E+00;-9.69E-04
63;0.00E+00;-9.69E-04
64;0.00E+00;-9.68E-04
65;0.00E+00;-9.68E-04
66;0.00E+00;-9.67E-04
67;0.00E+00;-9.67E-04
68;0.00E+00;-9.66E-04
69;0.00E+00;-9.66E-04
70;0.00E+00;-9.65E-04
71;0.00E+00;-9.65E-04
